의도ID,의도유형,의도명,의도그룹,컨텍스트,사용상태,총 사용빈도,질의문 갯수,대표질의문,display질의문,질의문,등록자 / 수정자,등록일 / 수정일,등록일 / 수정일,단순응답
INT1f0ab6ca341c414eb803adaa9f4a787a,질의응답,팀 블로그,EP,,사용,2514,10,조직 소개,팀 블로그 안내,"팀 소개,팀안내,조직 소개,team blog,팀 블로그,팀블로그,조직 영문명,영문 조직명,조직 정보,조직명 영문",50496 / _vpatutor,2017.11.08 14:49:07 / 2019.05.13 09:07:19,2019.05.13 09:07:19,"Team Blog 안내
||||
팀 블로그에서는 팀 리더, 연락처, 팀 영문명, 팀 멤버 등 팀에 대한 정보를 확인하실 수 있습니다.

▶ 팀 블로그 접속 경로
* 엘비에서 **팀 이름**으로 질문 후, 해당 팀 클릭
* 엘비에서 임직원 조회 후, 임직원의 **팀 이름** 클릭
* OfficePlus에서 임직원 조회 후, 임직원의 **팀 이름** 클릭"
INTb534a48275e94fb9aa4f3e39d5ece23c,질의응답,sms 발송시 fail 발생,SMS_FAQ,,사용,338,10,sms가 안보내짐,SMS/LMS 발송 실패 안내,"sms가 안보내짐,sms 발송이 안됨,sms 발송 오류,sms 발송 fail,sms 발송 실패,문자 발송이 안됨,문자 발송 오류,문자 발송 fail,문자 발송 실패,문자가 안보내짐",_vpasaas / _vpatutor,2018.09.03 11:26:00 / 2019.05.07 10:16:22,2019.05.07 10:16:22,"### **SMS/LMS 발송 실패 안내**

---

문자 발송이 반복적으로 실패하는 경우, **번호도용 문자차단 서비스**(웹(PC)환경에서 특정 발신번호로 문자를 발송하지 못하도록 제한하는 기능)에 가입되어 있는지 확인해보시기 바랍니다.

사용하고 계신 통신사에 연락하셔서 해당 서비스를 해지하시면 이후 정상적으로 문자 발송이 가능합니다.
본인만 신청 및 해지가 가능하며, 서비스 해지 신청 시 한국인터넷진흥원으로부터 하부로 하달되는데 약 2~3일의 시간이 소요됩니다."
INTac5bff9926324c8c99582382a606e459,질의응답,고객사 webwas 재기동 요청,인프라,,사용,176,13,was 재기동,고객사 WEB/WAS 재기동 요청,"was restart,web 재기동,web restart,web was 재기동 요청,was 재기동 요청하는 방법,was 중지,was 기동,톰캣 재기동,아파치 재기동,was 재기동,was 재기동 요청은 어디서 하나요,고객사 web was 재기동 요청,고객사 인프라 web was 재기동 요청",_vpatutor / _vpatutor,2019.01.16 17:39:36 / 2019.04.30 09:40:54,2019.04.30 09:40:54,고객사 인프라 **WEB/WAS 재기동** 요청 관련 안내드립니다.
INTed1577d5ee1d4b18ba9ec596957bcc95,질의응답,고객사 os계정 관련 csr 요청 방법,인프라,,사용,846,16,os 계정 삭제,고객사 OS계정 관련 CSR 요청 방법,"os 계정 관련 요청,os 계정 생성 요청,os 계정 연장 요청,os 계정 삭제 요청,os 계정 패스워드 초기화 요청,ip 변경 요청,os 계정,os 계정 생성 요청은 어디서 하나요,os 계정 요청은 어디서 하나요,고객사 os계정 관련 csr 요청 방법,시스템에 새 계정을 만들고 싶음,os 계정 생성,os 계정 연장,os 계정 삭제,os 계정 패스워드 초기화,os 계정 요청",_vpatutor / _vpatutor,2019.01.22 18:09:51 / 2019.04.30 09:20:20,2019.04.30 09:20:20,고객사 인프라 **OS 계정** 요청 관련 안내드립니다.
INT823a86b2dbda48f880ba55fd39b2d939,질의응답,deviceon 보안카메라 실행 오류,mOfficePlus_FAQ,,사용,193,5,보안카메라 실행 오류,DeviceON 보안카메라 실행 오류 안내,"deviceon 보안카메라 실행 오류,디바이스온 보안카메라 실행 오류,보안카메라 실행이 안돼요,보안카메라 실행 시 로딩이 계속돼요,보안카메라 실행 오류",_vpatutor / _vpatutor,2019.04.25 14:02:44 / 2019.04.25 14:06:09,2019.04.25 14:06:09,"### **DeviceON 보안카메라 실행 오류 안내**

---

보안카메라 실행 시 로딩이 계속되면서 정상적으로 실행되지 않는 경우, 단말기의 절전모드 해제 후 실행하여주세요.

위 조치 후에도 문제가 지속되면 HelpDesk(1644-3888)로 연락주세요."
INT9aec94de26a3473dbd6cb1e1af191528,질의응답,고객사 l4 설정 요청,인프라,,사용,1278,10,l4 설정 요청,고객사 L4 설정 요청,"l4 설정 요청,l4 룰 등록,l4 룰 등록 요청 방법,l4 룰은 어떻게 요청하나요,l4,l4 설정,l4 등록,l4 요청,l4 요청은 어디서 하나요,고객사 l4 설정 요청",_vpatutor / _vpatutor,2019.01.16 17:58:22 / 2019.04.22 18:08:49,2019.04.22 18:08:49,고객사 인프라 **L4** 요청 관련 안내드립니다.
INT5819aa7ea7234f58921d5bb310622564,질의응답,고객사별 서버 ip 관련 요청,인프라,,사용,811,10,고객사별 서버 ip 관련 요청 안내,고객사별 서버 IP 관련 요청 안내,"서버 ip 추가 요청,서버 ip 삭제 요청,서버 ip 변경 요청,서버 ip 관련 요청,서버간 ip 추가 요청서,서버내 ip 추가 요청,서버간 ip 변경 요청,서버간 ip 삭제 요청,고객사별 서버 ip 관련 요청 안내,고객사 서버 ip 관련 요청",_vpatutor / _vpatutor,2019.01.22 18:22:07 / 2019.04.22 17:42:08,2019.04.22 17:42:08,고객사별 인프라 **서버 IP** 요청 관련 안내드립니다.
INTf3cb44c5c3494005a6148908d8b1f62e,질의응답,고객사 db object 관련 csr 요청,인프라,,사용,62,24,db object 관련 요청,고객사 DB Object 관련 CSR 요청 안내,"db object 요청,db 오브젝트 요청,db 오브젝트 관련 요청,db object 관련 요청,db object 이관 요청,db object 이관,db 오브젝트 이관,db 오브젝트 이관 신청서,db object 생성,db object 수정,db object 이관 신청서,db object 삭제,db object 컴파일,db object 생성 양식,db object 수정 양식,db object 삭제 양식,db obejct 컴파일 양식,db object 생성 요청서,db object 수정 요청서,db object 삭제 요청서,db object 컴파일 요청서,db object 요청은 어디서 하나요,고객사 db object 관련 csr 요청 안내,고객사 db object 요청",_vpatutor / _vpatutor,2019.01.16 17:13:47 / 2019.04.22 17:02:14,2019.04.22 17:02:14,고객사 인프라 **DB(데이터베이스) Object** 요청 관련 안내드립니다.
INTa732a7060f4546c4b807a3258ec3be78,질의응답,고객사별 port 요청 방법,인프라,,사용,126,12,인프라 port 할당,고객사별 port 요청 방법 안내,"port 요청,포트 할당,port 할당,포트 할당 요청 방법,네트워크 장비 포트는 어떻게 할당받나요,인프라 포트 할당,네트워크 장비 포트 할당,네트워크 장비 port 할당,인프라 port 할당,고객사별 port 요청 방법 안내,고객사별 port 요청 방법,고객사 port 요청",_vpatutor / _vpatutor,2019.01.22 17:07:34 / 2019.04.22 17:02:03,2019.04.22 17:02:03,고객사별 인프라 **포트** 요청 관련 안내드립니다
INT287ae6de6a274a64ac08368e8842ef3b,질의응답,고객사 web was 설정 변경 요청,인프라,,사용,171,10,web was 설정,고객사 WEB/WAS 설정 변경 요청 안내,"web was 설정,was 설정 변경,was 변경,was 설정 요청,web 설정 변경,web 변경,web 설정 요청,web was 설정 안내,web was 설정 변경 요청 안내,고객사 web was 설정",_vpatutor / _vpatutor,2019.01.22 17:58:47 / 2019.04.22 16:55:07,2019.04.22 16:55:07,고객사 인프라 **WEB/WAS 설정** 요청 관련 안내드립니다.
INT12e03dccbac94369a4b49485583b7406,질의응답,고객사별 db 계정 csr 요청,인프라,,사용,453,10,db계정 생성,고객사별 DB 계정 CSR 요청,"db 계정 요청,db계정 생성,db계정 변경,db계정 패스워드 초기화,db계정 연장 요청,db계정 삭제 요청,db 계정,db 계정 요청은 어디서 하나요,고객사별 db 계정 csr 요청,고객사 db 계정 요청",_vpatutor / _vpatutor,2019.01.16 16:09:54 / 2019.04.22 16:49:29,2019.04.22 16:49:29,고객사별 인프라 **DB(데이터베이스) 계정** 요청 관련 안내드립니다.
INT0ee6463b49c5423fae4f6091b2817504,질의응답,고객사 erp 소스 이관 csr 요청,인프라,,사용,677,14,* 고객사 erp 소스 요청,고객사 ERP 소스 이관 CSR 요청,"erp 소스 관련 요청,erp 소스 요청,erp 소스 이관,소스 이관,소스 반영,gerp 소스 반영,gerp 소스 이관 양식,소스 다운로드,erp 소스 다운로드 요청,운영 소스 다운로드,gerp 소스 다운로드,erp 소스 요청은 어디서 하나요,고객사 erp 소스 이관 csr 요청,고객사 erp 소스 요청",_vpatutor / _vpatutor,2019.01.22 17:32:41 / 2019.04.22 16:46:54,2019.04.22 16:46:54,고객사 인프라 **ERP 소스** 요청 관련 안내드립니다.
INT80b589e89975431db9b1b47f40133390,질의응답,고객사별 db data 보정 csr 요청 방법,인프라,,사용,13,7,db data 보정 요청,고객사별 DB Data 보정 CSR 요청 방법,"db data 보정 요청,db data 보정,db data 보정 요청서,db 데이터 보정 요청,db data 보정 요청은 어디서 하나요,고객사별 db data 보정 csr 요청 방법,고객사 db data 보정 요청",_vpatutor / _vpatutor,2019.01.16 17:33:25 / 2019.04.22 16:46:16,2019.04.22 16:46:16,고객사별 인프라 **DB(데이터베이스) Data 보정** 요청 관련 안내드립니다.
INTf29a460123554e09ba60cc90467c9382,질의응답,lg화학 오창청주 화상회의,인프라,,사용,73,11,lg 화학 화상회의 담당자,LG화학 오창/청주 화상회의,"lg화학 오창청주 화상회의,오창 화상회의 담당자,오창 화상회의 ip,청주 화상회의 담당자,청주 화상회의 ip,lg화학 화상회의,오창 화상회의,청주 화상회의,lg 화학 화상회의,lg 화학 화상회의 요청,lg 화학 화상회의 담당자",_vpasys / 80974,2018.12.27 12:29:41 / 2019.04.05 12:49:04,2019.04.05 12:49:04,"LG화학 오창/청주 화상회의 담당자 :
LG화학 정보기술팀 곽인선 선임
: G-Portal > Communication > 화상회의 > 전사 화상회의실 > IP 정보"
INT126b3268b0724714bf83eb9c26b045a4,질의응답,전화 인접 호출,U-Service,,사용,672,6,인접 호출,전화 인접 호출 서비스 안내,"전화 인접 호출,통화 중일 경우 다른 내선번호로 자동 연결,통화 중이면 다른 내선번호로 자동 연결,착신 전환,통화 중일 경우 착신 전환,인접 호출",_vpatutor / _vpatutor,2019.03.19 11:04:10 / 2019.03.19 17:14:10,2019.03.19 17:14:10,"### **전화 인접 호출 서비스 안내**

---

**인접 호출** 서비스는 통화 중일 경우 다른 내선번호로 자동연결하는 서비스 입니다.

LG사이언스파크에서 인접호출 서비스를 이용하려면, **[[IP폰 구내전화 서비스 신청서]](https://approval.lgcns.com/MW4/DM/DM_frmWriteDocument?ISFLEX=Y&GrpNo=&FormNo=2250)**를 작성하세요.

|||| 
※ 구내 통신실 연락처 : 내선 0000 
※ 02-2099로 시작하는 번호 외에 다른 국번을 사용하는 회선은 근무지 건물 담당자에게 문의해 주세요."
INT5f27c6e6902742d7a9f5297462881882,질의응답,불법 sw로 계속 뜨는 경우,PCcheck_FAQ,,사용,81,5,불법 sw를 삭제하여도 계속 불법으로 검출되고 있어요,불법 S/W 검출 오류 조치 방법,"불법 sw를 삭제하여도 계속 불법으로 검출되고 있어요,불법 sw 삭제 후 불법 검출,불법 sw 검출,불법 sw 검출 오류 조치 방법,불법 sw 검출 오류",_vpasaas / _vpasaas,2018.08.30 18:37:25 / 2019.03.05 11:14:39,2019.03.05 11:14:39,"계속 불법 S/W로 뜨는 경우는 해당 프로그램이 완전 삭제 되지 않았거나 설치 정보(레지스트리값)이 남아 있을 경우 경고창이 발생합니다. 이럴 경우 아래과 같이 조치하여 주세요.
||||
1. 제어판 → 프로그램 및 기능 → 검출된 S/W 삭제 (S/W없는 경우 바로 2번으로 진행)
2. 검출된 항목에 있는 [삭제 가이드] 연결
3. [설치 정보 삭제] 진행
4. S/W 재점검 진행"
INT5d8c246cb4ca4023abc387649a08a838,질의응답,외부검색 서비스 안내,VPA 가이드,"서비스안내,지도,구글",사용,2860,8,구글,외부검색 서비스 안내,"외부서비스 호출 서비스 안내,지도 검색 어떻게 해,구글 검색 어떻게 불러,장소 어디 찾으려면,지도,구글,검색,외부써비스",66237 / _vpatutor,2017.10.12 16:49:06 / 2019.02.21 17:01:35,2019.02.21 17:01:35,"### **외부검색 서비스 안내**

---

입력창에 바로 ""**/**""를 입력하면 ""구글"" 또는 ""어디"" 라는 텍스트를 함께 사용하여 구글검색, 지도를 바로 호출할 수 있습니다. 

아래 문구를 입력해보세요 

예)
**/구글 검색어 
/어디 마곡역 맛집 
/어디 발산역 햄버거**"
INT04a773a7f63245feac8b92add3a8efe7,질의응답,일정 조회 서비스 안내,VPA 가이드,서비스안내,사용,1157,3,help,일정 조회 서비스 안내,"일정 조회 서비스 안내,일정관리,help",/ _vpatutor,2017.08.04 13:23:13 / 2019.02.21 16:49:15,2019.02.21 16:49:15,"### **일정 조회 서비스 안내**

---

나의 일정, 타인의 일정을 빠르게 조회할 수 있습니다.

아래 입력창에 '오늘 일정' 이라고 입력해 보세요

예) 팀장님 내일 뭐하셔, 오늘 일정, 어제 일정, 상무님 일정"
INT8de0b97a2ea041f583b1581414d48206,질의응답,lg화학 오창청주 케이블 포설,인프라,,사용,423,6,화학 오창 케이블,LG화학 오창/청주 케이블 포설,"lg화학 오창청주 케이블 포설,엘지화학 케이블 포설 요청,lgc 케이블 포설,화학 오창 케이블,화학 청주 케이블,lg화학 케이블 포설",_vpasys / _vpasys,2018.12.27 12:29:41 / 2018.12.28 10:36:14,2018.12.28 10:36:14,LG화학 오창/청주 케이블 포설 및 실사 요청은 케이블 업체를 통해 문의/진행하시기 바랍니다.
INT167955e7b336436d9f81e6a87369a70d,질의응답,vpa 기능,VPA 가이드,"help,vpa,가이드,도움말",사용,12645,45,할 수 있는 일,VPA(엘비) 사용법을 알려줘,"도움말,도와줘,넌 뭘 할 수 있어,할 줄 아는 게 뭐야,뭘 할 수 있는 지 알려줘,vpa 기능,vpa 사용법을 알려줘,넌 할 줄 아는 게 뭐니,할 줄 아는 게 뭔데,넌 뭘 할 줄 아니,넌 뭘 할 수 있니,무슨 일을 할 수 있니,서비스 할 수 있는 것은,할 수 있는 일,엘비는 무엇을 할 수 있나요,아는 것은 뭐니,네가 어떤 거 할 수 있어,네 역할은 뭐야,넌 어떤 일을 할 수 있어,엘비의 기능 정리,엘비 아는게 뭐야,엘비 기능,모 할 수 있어,너 뭐 할 수 있어,엘비 도움말,뭐 할 줄 아니,뭐 할 수 있어,너 기능 뭐야,너 뭐 할 줄 아니,엘비가 할 수 있는 일,엘비가 할 수 있는 일 알려줘,엘비의 구체적인 기능,뭐 할 줄 알아,너 뭐 할 줄 알아,무엇을 할 수 있는지 알려주세요,어떤 거 할 수 있어,무엇을 할 수 있어요,무슨 서비스를 해줄 수 있니,매뉴얼,너를 어떻게 활용해야 하니,네가 하는 일이 뭐니,너 뭐하는 놈이냐,넌 뭐하는 로봇이냐,할 수 있는 것이 그럼 무엇,브이피에이 사용법",/ _vpasys,2017.07.20 10:45:37 / 2018.12.13 18:51:22,2018.12.13 18:51:22,
INT3a82abfd6d2e450eb55ddf3b527fc92b,질의응답,erp 솔루션,용어 사전,eap,사용,507,2,eap 솔루션,EAP 솔루션,"erp 솔루션,eap 솔루션",50496 / _vpatutor,2017.11.16 10:59:05 / 2018.12.13 18:14:37,2018.12.13 18:14:37,"LG CNS의 EAP 는 Enterprise Application Platform 의 약자입니다. 
ERP 등 비즈니스 어플리케이션의 개발을 쉽게 하기 위한 플랫폼으로서, In-House 구축 프로젝트들의 공통영역 기능을 통일하고, 효율적인 운영기반을 만들어 프로젝트마다 반복되는 불필요한 중복 개발요소를 제거할 수 있습니다."
INTc12eadc7c49842e6bc9446493917ce49,질의응답,담당자 찾기 서비스 안내,VPA 가이드,서비스안내,사용,209,4,* 담당자 찾기 서비스 안내,담당자 찾기 서비스 안내,"담당자 찾기 서비스 안내,담당자 조회,업무 및 시스템 담당자 조회,업무 및 담당자 조회",/ _vpasaas,2017.08.04 13:25:11 / 2018.11.08 14:45:12,2018.11.08 14:45:12,"Help Desk 시스템, 업무 담당자를 간단히 찾을 수 있습니다.
아래 버튼을 클릭해보세요. 
그외 다른 담당자를 찾으시면 입력창에 **""〇〇 담당자 조회""** 라고 입력해 보세요."
INTc9ef50be67e142a3a70a787c5016d689,질의응답,웹브라우저 테두리 인쇄,Internet Explorer_FAQ,,사용,32,7,웹브라우저에서 테두리 인쇄가 안 돼요,Internet Explorer에서 테두리를 인쇄하고 싶어요,"웹브라우저에서 테두리 인쇄가 안 돼요,웹브라우저 테두리 포함 인쇄 방법,internet explorer 테두리 인쇄,internet explorer 테두리 프린트,ie 테두리 인쇄,ie 테두리 프린트,internet explorer 테두리 인쇄하고 싶어",_vpasaas / 80974,2018.08.23 18:05:05 / 2018.11.05 14:32:36,2018.11.05 14:32:36,"* Internet Explorer 옵션-인터넷 옵션-고급탭 누르고 설정(S)에 인쇄-배경색 및 이미지 인쇄 체크해 주세요
* IE 8.0사용자 : Internet Explorer -파일-페이지설정-배경색 및 이미지 인쇄 체크 추가 설정이 필요합니다"
INTf6532c496bc346468aeb4afb56ac08e4,질의응답,주간작업 실적 등록,ProjectPlus_일반,,사용,199,6,projectplus 주간작업 실적 등록,ProjectPlus 주간작업 실적 등록 오류 조치 방법,"projectplus 주간작업 실적 등록,프로젝트플러스 주간작업 실적 등록,주간작업 실적 등록이 안돼요,주간작업 실적 승인이 안돼요,projectplus 주간작업 실적 등록 오류,주간작업 실적 등록 오류",_vpasaas / 80974,2018.08.31 13:39:19 / 2018.11.02 11:03:41,2018.11.02 11:03:41,"최근 주간작업지시한 WBS(TASK)의 계획시작일자와 계획완료일자를 확인해 보시겠어요? 
계획시작일자가 계획완료일자보다 미래인 WBS(TASK)가 지시되었을 때 오류가 발생 할 수 있어요~ MS Project 프로그램 또는 ProjectPlus> 공정관리> 작업분류체계(WBS)관리 메뉴에서 계획시작일자/계획종료일자를 수정해주세요."
INTaf592415939c467a85163f9dd94200c9,질의응답,프로젝트 종료처리,ProjectPlus_일반,,사용,776,5,* projectplus 프로젝트 종료,ProjectPlus 프로젝트 종료처리 방법,"프로젝트 플러스 종료처리 프로세스,프로젝트 종료처리 방법,projectplus 종료처리 프로세스,projectplus 종료처리 방법,projectplus 프로젝트 종료",_vpasaas / 80974,2018.08.31 13:00:51 / 2018.11.01 15:51:43,2018.11.01 15:51:43,"ProjectPlus 프로젝트 종료를 진행하시려면 종료보고의 사전점검이 모두 수행되었는지 확인 후 종료처리 해주세요~
||||
1. 종료> 종료평가> 종료보고 사전점검 메뉴에서 빨간 경고등으로 표시된 **미수행항목** 점검 후 다시 메뉴에 접속하여 점검항목이 모두 사라졌는지 확인하여 주세요.
2. 종료> 종료평가> 프로젝트 종료요청 메뉴에서 종료요청을 수행 해 주세요.

※ 종료> 종료평가> 프로젝트 종료요청> 최종 세금계산서 발행일'에서 문의처 조회하기를  클릭하여 회계팀 담당자에게 문의하여주세요"
INT9a6ecb26c44c40059804ac8d664a08a2,질의응답,출입권한신청 결재선 안보임,U-Service,"출입권한,신청,결재선",사용,185,5,출입권한 신청 결재선이 없음,출입권한 신청 결재선 안보임,"출입권한 신청 결재선 안보임,출입권한 신청 결재선이 없음,출입권한 신청 결재선이 없어,출입권한 신청에 결재선이 안보여,출입권한신청시 결재선이 보이지 않아요",/ 80974,2017.08.10 10:40:25 / 2018.11.01 15:31:42,2018.11.01 15:31:42,"출입 권한 신청 시 결재선이 보이지 않을 경우, 경영지원팀 송은순 책임님에게 연락하세요."
INTb44c10b15561492582df201f7a73072d,질의응답,출입카드 신청 사용자 검색 안됨,U-Service,출입카드,사용,256,19,외주인원 출입카드 신청 시 사용자 검색이 안됨,출입카드 신청 시 사용자가 검색되지 않습니다,"단기 출입카드 신청시 사용자가 검색되지 않습니다,장기 출입카드 신청시 사용자가 검색되지 않습니다,출입카드 신청 시 사용자 검색이 안돼요,출입카드 신청 화면에서 사용자가 검색되지 않아요,출입카드 신청 시 사용자 검색이 안될 때,출입카드 신청 사용자 검색이 안됨,출입카드 신청할 때 사용자 검색이 안되면,출입카드 신청 시 외주인원 검색이 안됨,출입카드 신청화면에서 외주인원 검색이 안돼요,사용자 검색이 안되어 출입카드 신청을 못하고 있습니다,외주인원 출입카드 신청하려는 데 인원검색이 안됩니다,외주계약전이라 검색이 안되더라도 출입카드 신청이 가능한가요,외주인원 출입카드 신청 시 사용자 검색이 안됨,출입카드 신청에서 협력직원 사용자 검색이 안돼요,출입카드를 신청을 위한 협력사 인원 검색 안됨,출입카드 신청시 협력사 인원 검색이 안돼요,출입카드 신청시 인원 검색이 안돼요,출입카드 신청에서 인원 검색이 안됨,출입카드 신청 사용자 검색 안됨",/ _vpasaas,2017.07.20 10:45:39 / 2018.10.02 09:31:19,2018.10.02 09:31:19,"협력직원 출입카드 신청 시 사용자 검색이 안되면 사번이 아직 생성되지 않은 인원입니다.

검색되지 않는 인원은 단기 출입카드의 경우 텍스트로 입력하여 신청하면 됩니다.

장기 출입카드는 사번이 생성된 이후 신청 가능하므로, 사번 생성 전에 출입이 필요한 경우에는 임시로 단기 출입카드를 신청하세요."
INTb1744450493f4741beb430a1c819986d,질의응답,시스템별 업무 담당자 리스트,시스템 담당자,,사용,382,7,시스템별 업무 담당자,시스템별 업무 담당자 리스트,"시스템 담당자 목록,전체 시스템 업무 담당자 리스트,각 시스템별 sm담당자,시스템별 업무 담당자,시스템별 업무 담당자 리스트,전체 시스템 담당자 목록,전체 시스템 담당자",_vpasaas / _vpasaas,2018.09.07 14:00:30 / 2018.09.07 14:25:40,2018.09.07 14:25:40,"각 시스템별 SM담당자(CNS인원)을 확인하여주세요
[[시스템별 업무 담당자 확인]](https://kit.lgcns.com/LGCNS.KIT.Main/STA/KITSTA_SystemAllForCorp.html)"
INTa225b193178d4e40b1c6ea048ec07f75,질의응답,uac 설정 변경,Windows_FAQ,,사용,143,9,windows7 uac 설정 변경,사용자 계정 컨트롤 변경,"windows7 uac 설정 변경,windows7 uac 설정,windows7 uac 변경,user account control 설정,user account control 변경,사용자 계정 컨트롤 설정 변경,사용자 계정 컨트롤 변경,activex 설치 불가로 인한 사내 시스템 사용불가,사용자 계정 컨트롤 알림 팝업 발생",_vpasaas / _vpasaas,2018.08.31 11:21:31 / 2018.09.07 11:13:04,2018.09.07 11:13:04,"Windows의 사용자 계정 컨트롤에 따른 사내시스템 작동에 필요한 ACTIVEX 설치 및 실행 불가한 상태입니다. 사용자 계정 컨트롤 설정 변경- 알리지않음(미사용) 변경후, 재부팅 수행하신 후 사용하여 주세요~"
INT052bdd88254642abbdeda027e9965634,질의응답,협력업체 등록,PartnerPlus_일반,,사용,2201,6,partnerplus 업체 등록,PartnerPlus 협력업체 등록 요청,"신규 협력사 업체 등록을 하고싶어요,협력업체 등록,협력사 등록,파트너플러스 업체 등록,partnerplus 업체 등록,partnerplus 협력업체 등록 요청",_vpasaas / _vpasaas,2018.08.30 17:00:20 / 2018.09.07 10:32:01,2018.09.07 10:32:01,[[PartnerPlus]](https://partnerplus.lgcns.com/lpp/lppLogin#)에서 신규 등록을 요청하여 주세요
INT33346be3b67c4b4aae24bbb4dd3bf628,질의응답,공정관리 to-do,ProjectPlus_일반,,사용,97,5,공정관리 todo가 사라지지 않아요,ProjectPlus 공정관리 To-Do 오류 조치 방법,"프로젝트 플러스 공정관리 todo,projectplus 공정관리 todo,공정관리 todo 완료가 되지 않아요,공정관리 todo가 사라지지 않아요,projectplus 공정관리 to-do 오류",_vpasaas / _vpasaas,2018.08.31 13:42:38 / 2018.08.31 13:44:30,2018.08.31 13:44:30,주간작업 실적 승인 시 100% 완료처리 되지 않으면 To-Do가 사라지지 않아요. 승인자에게 확인 요청 해주세요.
INT32474c4a582646c48df9c8318bf86957,질의응답,projectplus 주간작업 지시,ProjectPlus_일반,,사용,25,7,* projectplus wbs 주간작업 지시 오류,ProjectPlus WBS 주간작업 지시 오류 조치 방법,"projectplus wbs 주간작업 지시,프로젝트플러스 wbs 주간작업 지시,프로젝트플러스 주간작업주간작업 지시 목록 조회,주간작업 지시 목록 조회,주간작업 지시가 안돼요,주간작업 지시 목록이 안떠요,projectplus wbs 주간작업 지시 오류",_vpasaas / _vpasaas,2018.08.31 13:35:43 / 2018.08.31 13:38:35,2018.08.31 13:38:35,"담당자, 승인자, Activity Type이 설정되었는지 확인해보세요. 
ProjectPlus> 작업분류체계(WBS) 관리 메뉴에서 최하위 WBS명을 클릭하여 확인할 수 있어요."
INTa6c2aed2a2364e638f0e7bd801c093bc,질의응답,프로젝트 조직변경,ProjectPlus_일반,,사용,117,2,프로젝트 플러스 조직 변경,ProjectPlus 조직 변경,"projectplus 조직 변경,프로젝트 플러스 조직 변경",_vpasaas / _vpasaas,2018.08.31 13:14:19 / 2018.08.31 13:16:04,2018.08.31 13:16:04,"조직정보는 NEXTSales 시스템과 5분주기로 동기화 되고있어요~
NEXTSales에서 변경해주세요!"
INT8a8cf44267fe4d12890bcce9b036d16b,질의응답,프로젝트 결함관리,ProjectPlus_일반,,사용,99,6,projectplus 프로젝트 결함관리,ProjectPlus 오픈 후 결함 관리 안내,"projectplus 프로젝트 결함관리,projectplus 프로젝트 오픈 후 결함관리,프로젝트 결함관리,프로젝트 오픈 후 결함관리,프로젝트플러스 결함 관리,프로젝트플러스 오픈 후 결함 관리",_vpasaas / _vpasaas,2018.08.31 13:07:36 / 2018.08.31 13:13:41,2018.08.31 13:13:41,"ProjectPlus 오픈 후 결함관리 안내입니다.
||||
* 오픈 후 결함관리 TO-DO 미수행
   : 착수> 프로파일> 수정화면에서 오픈후 결함관리 여부>비관리 지정을 해주세요 
* 오픈 후 결함관리 TO-DO 날짜 변경
   : 착수 프로파일> 오픈후 결함관리 여부> 관리 선택> 오픈 예정일 변경을 해주세요

※ 오픈 후 결함 건수가 입력이 안될 경우: S/W Develop(개발공정 관리)를 사용한 프로젝트는 오픈후 결함건수 입력할수 없고 개발공정내의 테스트의 결함항목으로 집계되어 표시됩니다. 만일  개발공정관리를 사용하지 않고 오픈후 결할관리를 사용하시고 싶으시다면 착수 및 계획수립> 착수> 프로파일 정보> 수정클릭> S/W Develop.(개발공정 관리)> 미사용으로 변경>오픈 후 결함관리 메뉴에서 등록/관리를 하시면 되요~"
INT431459d605994e9998a739e810da59e5,질의응답,주간업무보고 todo,ProjectPlus_일반,,사용,215,8,프로젝트 플러스 todo 생성,ProjectPlus TO-DO 발생하지 않도록 설정하는 방법,"projectplus 주간업무보고 todo 미사용인데 todo가 발생,projectplus to-do 발생,projectplus to-do 생성,projectplus 투두 생성,projectplus todo 발생 하지 않도록 설정하는 방법,projectplus todo 미발생 방법,프로젝트 플러스 todo 생성,projectplus todo 발생 하지 않도록 설정",_vpasaas / _vpasaas,2018.08.31 12:55:11 / 2018.08.31 13:05:36,2018.08.31 13:05:36,TO-DO가 발생하는 경우는 프로파일 설정에 주간업무보고 TODO 기능 사용이거나 지표관리대상여부가 대상인 경우에요~ TO-DO 발생하지 않도록 하려면 착수 > 프로파일 메뉴에서 수정/변경하시면 되요 !
INTfa76379b985049868d6542bc6d368163,질의응답,공인인증서 등록 및 갱신,PartnerPlus_일반,,사용,501,8,협력사 공인인증서 갱신 방법,PartnerPlus 공인인증서 등록/갱신 방법,"partnerplus 공인인인증서 등록 방법을 알고싶어요,partnerplus 공인인인증서 등록,partnerplus 공인인인증서 갱신,파트너플러스 공인인인증서 등록,파트너플러스 공인인인증서 갱신,협력사 공인인증서 등록 방법,partnerplus 공인인인증서 갱신 방법을 알고싶어요,협력사 공인인증서 갱신 방법",_vpasaas / _vpasaas,2018.08.30 18:13:03 / 2018.08.30 18:28:26,2018.08.30 18:28:26,"[[PartnerPlus]](https://partnerplus.lgcns.com/lpp/lppLogin#) 로그인 후 화면 가운데 [공인인증서 등록] 메뉴 클릭 후, 공인인증서 등록 버튼 클릭하여 등록 진행 하시거나 좌측 회사정보관리 메뉴에서 공인인증서관리 통하여 등록 진행하여주세요."
